"run","plan","response","receivedAtMs","socketGeneration","globalRegionEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"4","","69","60554","4","57919.9995","57919.9995","41","80","41","false","false"
"4","","70","61668","4","58960.0005","58960.0005","71","80","70","false","false"
"4","","71","62848","4","60080.0032","60080.0032","68","80","68","false","false"
"4","","72","63735","4","60880.0024","60880.0024","122","160","40","false","false"
"4","","73","64008","4","59780.0002","60880.0024","1561","400","63","true","false"
"4","","74","64019","4","61200.002","61200.002","74","80","75","false","false"
"4","","75","65236","4","62240.003","62240.003","189","240","23","false","false"
"4","","76","66225","4","63280","63280","95","160","11","false","false"
"4","","77","67038","4","64019.998","64019.998","157","140","74","true","true"
"4","","78","68112","4","65040.00429999999","65040.00429999999","132","160","48","false","false"
"4","","79","69126","4","66080.0052","66080.0052","65","80","65","false","false"
"4","","80","70215","4","67120.006","67120.006","68","80","69","false","false"
"4","","81","71304","4","68160.007","68160.007","74","80","73","false","false"
"4","","82","71492","4","68320.003","68320.003","95","160","11","false","false"
"4","","83","71966","4","68760.0055","68760.0055","153","120","70","true","true"
"4","","84","72961","4","69760","69760","67","80","67","false","false"
